pc_filelist,zmax,zmean,zsd,zskew,zkurt,zentropy,pzabovezmean,pzabove2,zq5,zq10,zq15,zq20,zq25,zq30,zq35,zq40,zq45,zq50,zq55,zq60,zq65,zq70,zq75,zq80,zq85,zq90,zq95,zpcum1,zpcum2,zpcum3,zpcum4,zpcum5,zpcum6,zpcum7,zpcum8,zpcum9,crr,fhd,fd,fds,och,rug,rum,wetup,PCA1,PCA2
hoh_678013.7_894593.6.laz,307.61,230.0881546846613,35.79702147775329,-0.5775549284017026,2.3259482805027694,0.8266290857808956,60.134959771606546,100,161.03000000000003,168.995,183.46750000000003,196.1,203.6175,213.71,222.97500000000005,230.35,236.29,241.08,244.55,247.37,250.95000000000002,254.63,257.78000000000003,261.06,263.52750000000003,267.14500000000004,273.1825,0,0,0,0,0,15.431537962362102,31.34328358208955,57.83257624918883,96.06748864373783,0.9637045452255163,4.735619776125219,2.179072992807136,1.7973823943006897,249.28,33.50912453273818,38.32111072818224,WET,-3.4265445553511586,2.2253899208229737
hoh_678606.6_884605.8.laz,216.04,165.34498644169932,23.96737484720139,-0.048129912402536584,1.6240449278729596,0.8014417783519471,53.148538716480864,100,131.3,133.46,135.3,137.352,139.7075,144.26,150.13,157.54200000000003,163.94,168.555,173.36,177,180.25300000000007,182.94,185.79,189.27,192.66350000000003,195.64900000000006,199.44,0,0,0,0,0,2.531264125357842,35.6185023353925,54.542715082115414,87.62995329215008,0.7621062453660853,4.308121087594912,2.272047207609363,1.861183398871228,178.16500000000002,23.801648905575977,24.885997780691024,WET,-4.082034008811485,0.851986213600753
hoh_678720.2_888227.4.laz,301.61,194.07876916140668,50.08492428842153,0.3824518118020015,1.7374685132003198,0.8296384924834885,46.51337541328524,100,137.6,139.04,140.29,141.76,143.21,145.6,150.46,163.37,175.88400000000001,186.65,198.82,209.734,216.08,226.05700000000002,238.77750000000012,248.73200000000003,258.232,268.27,279.56499999999994,0,0,0,0,35.23222606343003,47.286938223357886,60.96497820532091,76.26634600931911,91.61280625281829,0.5416916435081015,4.736517982288618,2.1478125405149666,1.6987540802958445,189.73,51.64757710731989,36.499449243327696,UPL,-4.147476014529875,5.013593866809221
hoh_678975.9_896376.laz,310.27,206.27493462612017,42.64646461707323,0.8624889376083866,2.2844772990551836,0.7416497886893669,39.37123549287499,100,168.11,169.06,170.34,171.59,172.44,173.39000000000001,174.41,175.29,176.28,178.28,186.61,204.93800000000005,219.39000000000001,227.77800000000005,235.77500000000003,250.21400000000006,267.13300000000004,277.95,290.30199999999996,0,0,0,0,0,54.87804878048781,64.10520129297679,79.35645019100794,90.49368204525419,0.38525803587006713,4.255173304129579,1.9952686625599756,1.7170092135473265,178.12,43.96260013703166,27.047775941111134,WET,-3.9837988518892606,2.964821000671809
hoh_679032.7_898186.9.laz,359.22,227.60650228484388,57.16040412108083,0.5137086330525964,1.8701102951838309,0.7926307594009893,46.83929931454684,100,168.73,169.95000000000002,171.33,172.34,173.26,174.47,175.92000000000002,179.094,197.60550000000018,213.55,230.84,241.68800000000005,254.11500000000007,264.63,274.77750000000003,286.244,300.83050000000003,314.24,327.3,0,0,0,0,40.44943820224719,50.42848981146448,63.81641592077699,80.32755665587507,93.52504284898114,0.4647433838224039,4.663787878543925,2.0616624521055558,1.6325250327727978,217.425,59.066906484618364,38.5327802554892,WET,-3.89085418452427,5.568261458841889
hoh_679568.8_886388.2.laz,188.98,147.8495762524829,10.102931704336768,0.94782792967134,3.6295897765899503,0.6795006570276092,43.378945045243874,100,135.83,136.97,137.83,138.62,139.53,140.52,141.63,142.85,144.36,145.73,147.31,148.88,150.47950000000006,152.32100000000003,154.07,156.1,158.69,161.81,166.86,0,0,0,0,0,0,0,67.0235073391458,96.65599823419049,0.3561737253768815,3.5616986320693482,2.2088075239997815,2.0199351440336106,146.1,10.184987874424438,6.165868310528783,WET,-4.460905985813486,-1.8870805742077619
hoh_679597.2_887293.6.laz,234.58,163.92229802826733,17.232229654176216,0.9806822562879702,3.95629995619077,0.7578206492138487,42.27883440935265,100,141.34,145.31,147.555,149.67000000000002,151.44,152.92000000000002,154.53,156.43,158.5,160.5,162.6,164.96,167.16,170.5,173.95000000000002,177.56,181.90500000000003,186.4800000000001,198.75,0,0,0,0,0,4.118673647469459,58.23734729493892,90.68062827225131,98.28970331588133,0.42135955737957675,4.136031024143358,2.2477831278795657,1.903576878769683,162.15500000000003,16.851237369376847,12.17406816710078,WET,-4.598510613634465,0.231781027717188
hoh_680246.9_879116.6.laz,180.81,135.940579004329,14.293348817881073,0.00689746354306322,2.1495667962416705,0.7682286526149471,50.99206349206349,100,113.52,115.91,118.05799999999999,121.33,124.4325,126.97,129.56,132.096,134.25,136.5,138.94,140.71,142.75,145.18,147.51,149.8,152.03,154.07,157.81,0,0,0,0,0,0.2345300378856215,29.027602381381925,68.91574959408263,98.57477900054123,0.6358579712245818,3.992827518525077,2.270831906121757,1.9116220939169903,141.17000000000002,12.728688647206921,14.664611727247392,UPL,-4.487904650136167,-0.08724349176478699
hoh_680303.7_880927.4.laz,179.26,140.51160347129507,14.465758138842482,0.1284033302673694,2.0980901290014042,0.773801763646697,49.4392523364486,100,118.58350000000002,121.03,123.7005,126.12,128.45,130.58,133.07,135.77800000000002,137.9315,140.27499999999998,142.45000000000002,144.95000000000002,147.41,149.44,151.77,154.13800000000003,156.59,160.47,164.67000000000002,0,0,0,0,0,0,18.560555481372678,56.789958605955405,91.40072105755108,0.7254907554811957,4.015131427651732,2.273723311791805,1.9774389201965845,145.77,13.244631079060317,16.765265898788176,WET,-4.360235272411379,-0.45332773167817386
hoh_680360.5_882738.2.laz,200.82,153.1063554807962,20.52113561437273,0.4411889164772293,1.7563177385560464,0.766763564521579,42.92122231567143,100,129.23,130.25,131.23,132.35,133.89000000000001,135.86,138.12,140.58,144.29,148.03,151.87,155.47400000000002,160.93800000000005,166.11,173.82,177.93200000000002,180.87,183.76,187.20000000000002,0,0,0,0,0,0,39.99719613066031,64.65722697322305,84.67685405860087,0.6427166859671262,4.065694013469117,2.2118497677304405,1.8633947607610155,151.41,21.045806954550052,13.687743230034878,WET,-4.297580587159005,0.22250012272705122
